observation_date,MRTSSM44814USN
2018-07-01,9129
2018-08-01,9496
2018-09-01,8248
2018-10-01,8998
2018-11-01,10860
2018-12-01,13645
2019-01-01,6633
2019-02-01,6938
2019-03-01,9103
2019-04-01,8789
2019-05-01,9426
2019-06-01,9043
2019-07-01,9272
2019-08-01,10046
2019-09-01,8179
2019-10-01,9314
2019-11-01,11175
2019-12-01,14350
2020-01-01,6800
2020-02-01,7417
2020-03-01,4182
2020-04-01,650
2020-05-01,2973
2020-06-01,6709
2020-07-01,6835
2020-08-01,7506
2020-09-01,7313
2020-10-01,8233
2020-11-01,8698
2020-12-01,11780
2021-01-01,5785
2021-02-01,5809
2021-03-01,9259
2021-04-01,9163
2021-05-01,10147
2021-06-01,10017
2021-07-01,10383
2021-08-01,10193
2021-09-01,8946
2021-10-01,9950
2021-11-01,12119
2021-12-01,14820
2022-01-01,6758
2022-02-01,7068
2022-03-01,9586
2022-04-01,9681
2022-05-01,10117
2022-06-01,9833
2022-07-01,10125
2022-08-01,10161
2022-09-01,9265
2022-10-01,10205
2022-11-01,12107
2022-12-01,15829
2023-01-01,7476
2023-02-01,7682
2023-03-01,9812
2023-04-01,9867
2023-05-01,10305
2023-06-01,10010
2023-07-01,10535
2023-08-01,11072
2023-09-01,9739
2023-10-01,10246
2023-11-01,12470
2023-12-01,16144
2024-01-01,7725
2024-02-01,8566
2024-03-01,10454
2024-04-01,10067
2024-05-01,11542
2024-06-01,10921
2024-07-01,11085
2024-08-01,11808
2024-09-01,9956
2024-10-01,11185
2024-11-01,13711
2024-12-01,17010
